Họ và tên,Email (Duy nhất),Mật khẩu (Bỏ trống = 12345678),Vai trò (Chọn từ danh sách)
Cao Bảo Phúc,cao.phuc@eai.edu.vn,,Sinh viên
Chu Lan,chu.lan@eai.edu.vn,,Sinh viên
Dương Thị Bình,duong.binh@eai.edu.vn,,Sinh viên
Tô Khánh Đạt Sơn,to.son@eai.edu.vn,,Sinh viên
Phạm Khánh,pham.khanh@eai.edu.vn,,Sinh viên
Đào Hoài Mai,dao.mai@eai.edu.vn,,Sinh viên
Tô Thị Vy,to.vy@eai.edu.vn,,Sinh viên
Thái Ngân,thai.ngan@eai.edu.vn,,Sinh viên
Võ Trung,vo.trung@eai.edu.vn,,Sinh viên
Hồ Minh Nhung,ho.nhung@eai.edu.vn,,Sinh viên
Mai Đức Nhung,mai.nhung@eai.edu.vn,,Sinh viên
Châu Khánh Nhung,chau.nhung@eai.edu.vn,,Sinh viên
Quách Thảo Thiện,quach.thien@eai.edu.vn,,Sinh viên
Chu Gia Đạt Trí,chu.tri@eai.edu.vn,,Sinh viên
Đinh Hữu Sơn,dinh.son@eai.edu.vn,,Sinh viên
Bùi Hà Duyên Ngân,bui.ngan@eai.edu.vn,,Sinh viên
Chu Hoài Trang,chu.trang@eai.edu.vn,,Sinh viên
Đỗ Kim Thịnh Quân,do.quan@eai.edu.vn,,Sinh viên
Huỳnh Đức Thảo Quân,huynh.quan@eai.edu.vn,,Sinh viên
Châu Khánh Minh,chau.minh@eai.edu.vn,,Sinh viên
Ngô Hữu Thịnh,ngo.thinh@eai.edu.vn,,Sinh viên
Bùi Văn Trí,bui.tri@eai.edu.vn,,Sinh viên
Trịnh Khánh Ngọc,trinh.ngoc@eai.edu.vn,,Sinh viên
Lê Kim An,le.an@eai.edu.vn,,Sinh viên
Dương Minh Khang,duong.khang@eai.edu.vn,,Sinh viên
Thái Minh Hà,thai.ha@eai.edu.vn,,Sinh viên
Hồ Hữu Thảo Nhung,ho.nhung2@eai.edu.vn,,Sinh viên
Phan Khánh Hiền,phan.hien@eai.edu.vn,,Sinh viên
Hồ Văn Chinh Kiên,ho.kien@eai.edu.vn,,Sinh viên
Đặng Minh Phúc Trinh,dang.trinh@eai.edu.vn,,Sinh viên
Đỗ Minh Quỳnh,do.quynh@eai.edu.vn,,Sinh viên
Tô Anh Dũng,to.dung@eai.edu.vn,,Sinh viên
Đặng Thị Nhung,dang.nhung@eai.edu.vn,,Sinh viên
Lý Anh Bình,ly.binh@eai.edu.vn,,Sinh viên
Võ Đức Phúc,vo.phuc@eai.edu.vn,,Sinh viên
Nguyễn Anh Bình,nguyen.binh@eai.edu.vn,,Sinh viên
Lý Gia Khoa,ly.khoa@eai.edu.vn,,Sinh viên
Lý Nhật Nhi,ly.nhi@eai.edu.vn,,Sinh viên
Trịnh Mai,trinh.mai@eai.edu.vn,,Sinh viên
Phan Khánh Thịnh,phan.thinh@eai.edu.vn,,Sinh viên
Hồ Nghĩa,ho.nghia@eai.edu.vn,,Sinh viên
Ngô Thị Yến Thịnh,ngo.thinh2@eai.edu.vn,,Sinh viên
Võ Tuấn Cường,vo.cuong@eai.edu.vn,,Sinh viên
Châu Quang Linh Thu,chau.thu@eai.edu.vn,,Sinh viên
Châu Bảo Thành,chau.thanh@eai.edu.vn,,Sinh viên
Hà Kim Hiếu,ha.hieu@eai.edu.vn,,Sinh viên
Vũ Văn Ngân,vu.ngan@eai.edu.vn,,Sinh viên
Mai Khánh Đức Khoa,mai.khoa@eai.edu.vn,,Sinh viên
Bùi Hà My Trang,bui.trang@eai.edu.vn,,Sinh viên
Quách Cường,quach.cuong@eai.edu.vn,,Sinh viên
Vũ Sơn,vu.son@eai.edu.vn,,Sinh viên
Đào Thiên Chinh,dao.chinh@eai.edu.vn,,Sinh viên
Nguyễn Anh Ân,nguyen.an@eai.edu.vn,,Sinh viên
Châu Hoài Nam,chau.nam@eai.edu.vn,,Sinh viên
Phan Bảo Loan,phan.loan@eai.edu.vn,,Sinh viên
